tx_week,asset,whale_tx_count,total_amount,total_usd_volume,avg_usd_per_tx
2020-12-28 00:00:00.000 UTC,ETH,3656,13778632.206389803,11050998594.720228,3022702.022625883
2020-12-28 00:00:00.000 UTC,USDC,1743,9556071341.775476,9554645165.761822,5481724.134114643
2020-12-28 00:00:00.000 UTC,USDT,1310,4818331432.847053,4829463308.086974,3686613.212280133
2021-01-04 00:00:00.000 UTC,ETH,16996,35646771.6113385,41308607557.57741,2430489.9716155217
2021-01-04 00:00:00.000 UTC,USDC,3646,12449735797.326572,12464963018.128916,3418804.99674408
2021-01-04 00:00:00.000 UTC,USDT,5542,17611830386.649063,17689225151.95967,3191848.638029533
2021-01-11 00:00:00.000 UTC,ETH,13305,42230391.36490297,48056692859.45175,3611927.309992616
2021-01-11 00:00:00.000 UTC,USDC,3689,12647085617.737091,12653765478.448835,3430134.3124014195
2021-01-11 00:00:00.000 UTC,USDT,4443,15273551166.979696,15291115450.917477,3441619.5027948404
2021-01-18 00:00:00.000 UTC,ETH,15939,42619273.032866515,54346404629.51829,3409649.5783623997
2021-01-18 00:00:00.000 UTC,USDC,3175,11770650157.982883,11769979242.649406,3707080.07642501
2021-01-18 00:00:00.000 UTC,USDT,4544,13277780852.896929,13286622136.01688,2923992.547538926
2021-01-25 00:00:00.000 UTC,ETH,16755,40300907.539558545,53997138739.39978,3222747.761229471
2021-01-25 00:00:00.000 UTC,USDC,3336,11799807680.206318,11787097636.33626,3533302.6487818523
2021-01-25 00:00:00.000 UTC,USDT,4136,16575588579.220398,16583071489.018654,4009446.684965825
2021-02-01 00:00:00.000 UTC,ETH,17612,45476997.036749475,72323568815.92221,4106493.8005860895
2021-02-01 00:00:00.000 UTC,USDC,3722,18566621745.58691,18509842544.831753,4973090.42042766
2021-02-01 00:00:00.000 UTC,USDT,3955,45285821162.61885,45190340254.38803,11426129.015015936
2021-02-08 00:00:00.000 UTC,ETH,15008,32235118.892331578,56637453408.7579,3773817.524570755
2021-02-08 00:00:00.000 UTC,USDC,4052,16105082966.33213,16066585808.047104,3965100.1500609834
2021-02-08 00:00:00.000 UTC,USDT,4266,19081359584.51612,19060606430.35664,4468027.761452564
2021-02-15 00:00:00.000 UTC,ETH,15184,34182130.86373044,63733114501.57503,4197386.360746511
2021-02-15 00:00:00.000 UTC,USDC,4264,17532606931.494934,17519680169.50011,4108743.0041041537
2021-02-15 00:00:00.000 UTC,USDT,5006,17890582351.694214,17897587811.606865,3575227.289573884
2021-02-22 00:00:00.000 UTC,ETH,19196,48167131.34817848,75790489600.76212,3948243.884182231
2021-02-22 00:00:00.000 UTC,USDC,5836,20459862066.3977,20452804305.11766,3504592.9241120047
2021-02-22 00:00:00.000 UTC,USDT,6505,19781078226.58811,19808653243.057117,3045142.696857359
2021-03-01 00:00:00.000 UTC,ETH,13682,31566027.608688284,49190247523.62385,3595252.7060096366
2021-03-01 00:00:00.000 UTC,USDC,4446,17233055881.455242,17214531199.379158,3871914.349837867
2021-03-01 00:00:00.000 UTC,USDT,4880,18762143201.575817,18765925883.840004,3845476.615540985
2021-03-08 00:00:00.000 UTC,ETH,14118,25150062.781086218,45287381653.79578,3207776.006077049
2021-03-08 00:00:00.000 UTC,USDC,4347,19137638473.3957,19114850738.606472,4397251.147597532
2021-03-08 00:00:00.000 UTC,USDT,5189,26558200717.907063,26545064052.879375,5115641.559622157
2021-03-15 00:00:00.000 UTC,ETH,10948,21548398.822465636,38786829026.04953,3542823.257768499
2021-03-15 00:00:00.000 UTC,USDC,4222,17363034293.67752,17349669989.29863,4109348.6473942753
2021-03-15 00:00:00.000 UTC,USDT,5147,24188582626.95696,24205539818.378902,4702844.340077503
2021-03-22 00:00:00.000 UTC,ETH,11066,21559335.58000981,35959921206.72798,3249586.228694016
2021-03-22 00:00:00.000 UTC,USDC,4342,19015358885.736862,18996682494.134365,4375099.607124451
2021-03-22 00:00:00.000 UTC,USDT,4857,16986461053.02168,16997452585.304502,3499578.46104684
2021-03-29 00:00:00.000 UTC,ETH,16624,32654225.132670075,63883451577.16155,3842844.7772594774
2021-03-29 00:00:00.000 UTC,USDC,4747,22685083394.678055,22657200917.67923,4772951.531004683
2021-03-29 00:00:00.000 UTC,USDT,5196,21259893853.85074,21265267157.227108,4092622.624562569
2021-04-05 00:00:00.000 UTC,ETH,15726,58348483.91324425,119394143975.17044,7592149.559657283
2021-04-05 00:00:00.000 UTC,USDC,4674,19434621268.75999,19513975498.731743,4175005.455441109
2021-04-05 00:00:00.000 UTC,USDT,5158,20920905494.22699,21050799705.065155,4081194.204161526
2021-04-12 00:00:00.000 UTC,ETH,19870,29404742.531693712,67951481068.33789,3419802.7714311974
2021-04-12 00:00:00.000 UTC,USDC,6974,31129685788.62115,31322284078.78348,4491293.960249998
2021-04-12 00:00:00.000 UTC,USDT,7975,30964511217.393684,31316974843.78763,3926893.397340141
2021-04-19 00:00:00.000 UTC,ETH,20738,30478590.033554107,70570648875.33269,3402963.105185297
2021-04-19 00:00:00.000 UTC,USDC,6506,27401008679.961594,27484978451.81757,4224558.630774295
2021-04-19 00:00:00.000 UTC,USDT,7647,27841066156.90857,28024415129.24111,3664759.3996653734
2021-04-26 00:00:00.000 UTC,ETH,22385,42835146.981857,115890364380.90036,5177143.818668768
2021-04-26 00:00:00.000 UTC,USDC,6409,26752725396.95983,26779717109.3066,4178454.846201685
2021-04-26 00:00:00.000 UTC,USDT,6292,25515322080.38291,25588524378.41816,4066834.770886548
2021-05-03 00:00:00.000 UTC,ETH,32132,77789014.09395407,276588049620.7457,8607869.090649376
2021-05-03 00:00:00.000 UTC,USDC,7055,33324138731.096928,33395189591.614452,4733549.197960943
2021-05-03 00:00:00.000 UTC,USDT,7887,28094750353.021133,28274184598.316807,3584909.927515761
2021-05-10 00:00:00.000 UTC,ETH,37822,38019919.45228539,149923077442.64218,3963911.9412681023
2021-05-10 00:00:00.000 UTC,USDC,8285,38987396419.8045,39034965152.117134,4711522.649621863
2021-05-10 00:00:00.000 UTC,USDT,10447,40925197209.784,41064504058.45919,3930746.057093825
2021-05-17 00:00:00.000 UTC,ETH,46034,65335771.325317346,172890765766.7068,3755718.9417975144
2021-05-17 00:00:00.000 UTC,USDC,14983,71857526483.35199,72039041795.17558,4808051.91184513
2021-05-17 00:00:00.000 UTC,USDT,14160,59138513068.53726,59454650498.42434,4198774.752713583
2021-05-24 00:00:00.000 UTC,ETH,28134,72435685.25813961,183410577587.5497,6519178.843660685
2021-05-24 00:00:00.000 UTC,USDC,10198,55080001086.48943,55127198007.63579,5405687.19431612
2021-05-24 00:00:00.000 UTC,USDT,9122,35586040374.80506,35675579847.998764,3910938.374040645
2021-05-31 00:00:00.000 UTC,ETH,19888,45624352.1404065,121088439213.09628,6088517.6595482845
2021-05-31 00:00:00.000 UTC,USDC,7202,24289510356.01409,24308768975.887222,3375280.335446713
2021-05-31 00:00:00.000 UTC,USDT,6610,30536772500.56635,30584895414.795395,4627064.359273131
2021-06-07 00:00:00.000 UTC,ETH,17544,48618942.553533144,121695290052.04636,6936576.04035832
2021-06-07 00:00:00.000 UTC,USDC,6469,27572519238.30362,27593252810.086132,4265458.7741669705
2021-06-07 00:00:00.000 UTC,USDT,6617,21449070705.0365,21488064113.130085,3247402.7675880436
2021-06-14 00:00:00.000 UTC,ETH,16380,61018060.55979187,144329673286.2846,8811335.36546304
2021-06-14 00:00:00.000 UTC,USDC,5907,25051119765.8022,25068626034.03143,4243884.549522842
2021-06-14 00:00:00.000 UTC,USDT,6401,20686269130.69252,20709836482.991432,3235406.418214565
2021-06-21 00:00:00.000 UTC,ETH,17937,52504815.891538866,100352876466.45567,5594741.398587037
2021-06-21 00:00:00.000 UTC,USDC,8091,47509702698.16725,47587940308.61615,5881589.458486732
2021-06-21 00:00:00.000 UTC,USDT,7377,27501197504.820965,27568747999.87648,3737121.865240136
2021-06-28 00:00:00.000 UTC,ETH,14514,25522981.12631831,54611163158.32656,3762654.20685728
2021-06-28 00:00:00.000 UTC,USDC,7002,38068140357.82598,38107942660.49432,5442436.826691562
2021-06-28 00:00:00.000 UTC,USDT,6206,22498921709.966625,22530038554.73143,3630363.9308300726
2021-07-05 00:00:00.000 UTC,ETH,14427,26003222.70063081,57444596066.68609,3981742.293386434
2021-07-05 00:00:00.000 UTC,USDC,5424,26535321306.981884,26564924511.06313,4897663.073573586
2021-07-05 00:00:00.000 UTC,USDT,5502,19650160184.051216,19674528764.904697,3575886.725718774
2021-07-12 00:00:00.000 UTC,ETH,11977,32301132.010913063,63317118189.90838,5286559.0874099005
2021-07-12 00:00:00.000 UTC,USDC,5539,33849428457.25312,33890950376.69249,6118604.50924219
2021-07-12 00:00:00.000 UTC,USDT,5499,21786924617.418808,21821683471.337925,3968300.322120008
2021-07-19 00:00:00.000 UTC,ETH,11766,25616376.488042876,49606850023.96208,4216118.479004087
2021-07-19 00:00:00.000 UTC,USDC,6355,29301803828.70284,29340612299.253,4616933.485326987
2021-07-19 00:00:00.000 UTC,USDT,5298,17881358982.297443,17917543747.091125,3381944.8371255426
2021-07-26 00:00:00.000 UTC,ETH,13594,18673084.977750644,44305013787.05182,3259159.466459601
2021-07-26 00:00:00.000 UTC,USDC,7274,30965439894.442837,30973037517.768635,4258047.50038062
2021-07-26 00:00:00.000 UTC,USDT,7126,26371638344.626686,26390969718.46636,3703475.96386
2021-08-02 00:00:00.000 UTC,ETH,16771,19612768.925835107,54071750718.33671,3224122.039135216
2021-08-02 00:00:00.000 UTC,USDC,7296,29858644030.08475,29871884997.182858,4094282.48316651
2021-08-02 00:00:00.000 UTC,USDT,6182,23530267522.349773,23550891845.85398,3809591.0459162057
2021-08-09 00:00:00.000 UTC,ETH,15367,19622835.143428043,62024179515.95216,4036193.109647437
2021-08-09 00:00:00.000 UTC,USDC,6076,27752694791.28766,27752870252.086098,4567621.832140569
2021-08-09 00:00:00.000 UTC,USDT,6734,25417604072.69912,25429756657.103783,3776322.639902552
2021-08-16 00:00:00.000 UTC,ETH,15746,22019667.13648264,69634801727.19266,4422380.396747914
2021-08-16 00:00:00.000 UTC,USDC,6475,31242623080.41154,31254235303.614662,4826908.927199176
2021-08-16 00:00:00.000 UTC,USDT,6799,28938292783.416523,28953999303.184315,4258567.333899737
2021-08-23 00:00:00.000 UTC,ETH,13863,25727235.88493917,83016716342.19778,5988365.890658428
2021-08-23 00:00:00.000 UTC,USDC,5564,24424963549.808815,24438473806.088745,4392249.066514871
2021-08-23 00:00:00.000 UTC,USDT,6145,34408885926.19405,34442029339.1512,5604886.79237611
2021-08-30 00:00:00.000 UTC,ETH,19517,22770070.598506443,81977213306.1589,4200297.858592966
2021-08-30 00:00:00.000 UTC,USDC,6513,31622806140.217144,31637258947.017212,4857555.496240935
2021-08-30 00:00:00.000 UTC,USDT,6827,27164640760.643894,27188091301.50483,3982436.106855842
2021-09-06 00:00:00.000 UTC,ETH,17693,21700552.21566582,75411199826.0097,4262205.382129074
2021-09-06 00:00:00.000 UTC,USDC,7140,33505510592.07563,33539666245.685085,4697432.24729483
2021-09-06 00:00:00.000 UTC,USDT,7219,26813143215.464592,26873272971.26298,3722575.560501867
2021-09-13 00:00:00.000 UTC,ETH,12291,13965910.392215893,47832466646.05813,3891665.9869870744
2021-09-13 00:00:00.000 UTC,USDC,5175,24807394913.05585,24827427203.750298,4797570.4741546465
2021-09-13 00:00:00.000 UTC,USDT,5710,21623497686.93987,21655033903.29156,3792475.2895431807
2021-09-20 00:00:00.000 UTC,ETH,16634,26344310.094401386,78224632465.7372,4702695.230596201
2021-09-20 00:00:00.000 UTC,USDC,8255,33146084417.333256,33177023847.997204,4019021.6654145615
2021-09-20 00:00:00.000 UTC,USDT,7483,30584270173.27478,30633421546.426422,4093735.339626678
2021-09-27 00:00:00.000 UTC,ETH,12303,17688858.619053427,54466102053.114655,4427058.607909831
2021-09-27 00:00:00.000 UTC,USDC,6691,38234161839.60313,38276168068.654335,5720545.220244259
2021-09-27 00:00:00.000 UTC,USDT,5912,23643588113.46094,23682535985.10384,4005841.6754235183
2021-10-04 00:00:00.000 UTC,ETH,14518,16595289.38136735,58463092325.613045,4026938.443698378
2021-10-04 00:00:00.000 UTC,USDC,6646,29358112926.30356,29388819138.26429,4422031.167358454
2021-10-04 00:00:00.000 UTC,USDT,6276,24327463987.25782,24361045191.086063,3881619.692652336
2021-10-11 00:00:00.000 UTC,ETH,20933,16112008.026997177,59626590069.54621,2848449.3416875848
2021-10-11 00:00:00.000 UTC,USDC,6947,30560670520.61197,30575286329.522755,4401221.581909134
2021-10-11 00:00:00.000 UTC,USDT,6664,27929385890.59698,27951542425.168064,4194409.12742618
2021-10-18 00:00:00.000 UTC,ETH,18625,14757017.133885758,59181521523.419426,3177531.356962117
2021-10-18 00:00:00.000 UTC,USDC,8141,34095503269.284424,34129020039.17102,4192239.287454984
2021-10-18 00:00:00.000 UTC,USDT,7535,28177350034.522427,28203547948.890255,3743005.6999190785
2021-10-25 00:00:00.000 UTC,ETH,19583,20536526.94504067,86830803405.95372,4433988.83756083
2021-10-25 00:00:00.000 UTC,USDC,8390,45113418182.81154,45258726373.26278,5394365.479530725
2021-10-25 00:00:00.000 UTC,USDT,8916,36009252585.90818,36181661401.471855,4058059.825198728
2021-11-01 00:00:00.000 UTC,ETH,17115,12938121.426770477,58117605004.80017,3395711.6567221833
2021-11-01 00:00:00.000 UTC,USDC,7353,33238281216.081135,33264500813.32915,4523935.919125412
2021-11-01 00:00:00.000 UTC,USDT,7975,31643289508.203617,31689545182.8958,3973610.681240853
2021-11-08 00:00:00.000 UTC,ETH,16845,11963432.560859054,56224000814.87229,3337726.3766620536
2021-11-08 00:00:00.000 UTC,USDC,9210,40155839389.93432,40192900193.48577,4364049.96671941
2021-11-08 00:00:00.000 UTC,USDT,8107,38279246838.672264,38343284583.82096,4729651.484374116
2021-11-15 00:00:00.000 UTC,ETH,18036,15502322.552284958,67357474123.64687,3734612.670417325
2021-11-15 00:00:00.000 UTC,USDC,10144,44015290129.447075,44053012749.21234,4342765.45240658
2021-11-15 00:00:00.000 UTC,USDT,7990,31304290740.67141,31357269578.74984,3924564.402847289
2021-11-22 00:00:00.000 UTC,ETH,17484,12741253.56785947,53742791350.20406,3073827.0047016735
2021-11-22 00:00:00.000 UTC,USDC,9866,36823255266.483475,36868824904.75489,3736957.723976778
2021-11-22 00:00:00.000 UTC,USDT,7458,28019410262.87808,28069396818.98139,3763662.753952989
2021-11-29 00:00:00.000 UTC,ETH,25561,18651990.160410676,81775922947.08302,3199245.8412066437
2021-11-29 00:00:00.000 UTC,USDC,12488,45837068075.51801,45885563217.73911,3674372.454975906
2021-11-29 00:00:00.000 UTC,USDT,9335,41112510751.35501,41191364663.29568,4412572.540256633
2021-12-06 00:00:00.000 UTC,ETH,18354,14953957.28420044,62726830827.29386,3417610.92008793
2021-12-06 00:00:00.000 UTC,USDC,10119,39622309884.30917,39666359073.01917,3919988.049512716
2021-12-06 00:00:00.000 UTC,USDT,7240,36355921044.64794,36428921772.77748,5031619.029389155
2021-12-13 00:00:00.000 UTC,ETH,17148,14566310.087585105,56742300978.45695,3308974.86461727
2021-12-13 00:00:00.000 UTC,USDC,9388,37967188711.64382,38014403882.71317,4049254.780859946
2021-12-13 00:00:00.000 UTC,USDT,6391,25204267113.923275,25241956928.08,3949609.908946957
2021-12-20 00:00:00.000 UTC,ETH,11795,9331820.319785424,37448108339.29418,3174913.805790096
2021-12-20 00:00:00.000 UTC,USDC,7016,34777602645.86986,34814705842.67884,4962187.263779766
2021-12-20 00:00:00.000 UTC,USDT,6188,31605490230.90013,31650122052.653694,5114757.927061036
2021-12-27 00:00:00.000 UTC,ETH,11209,11719312.572782315,44877514957.33706,4003703.716418687
2021-12-27 00:00:00.000 UTC,USDC,5286,24629262855.945538,24645593873.85061,4662427.898950172
2021-12-27 00:00:00.000 UTC,USDT,4417,24564762688.193428,24594284590.97468,5568097.032142785
